dataset,site,n_site,panel,base_rate,n_panels,pooled_on_site,within_site,values_on_site
cand_mimic4_regime,2,6957,8,0.1763691246226822,22,0.7628324166407092,0.7639088370875771,0.540033723478852
cand_mimic4_regime,3,5280,8,0.2128787878787879,22,0.737634607941526,0.7344658196870109,0.5603910780280792
cand_mimic4_regime,4,2257,8,0.16703588834736377,22,0.7868714374400363,0.7790747220497771,0.5196222980980869
cand_mimic4_regime,6,690,8,0.09420289855072464,22,0.8153476923076922,0.72928,0.5082584615384615
cand_mimic4_regime,7,4555,8,0.18441273326015367,22,0.7063132089982695,0.7113037556880087,0.5370008972633468
cand_mimic4_regime,8,3510,8,0.23276353276353276,22,0.7209190971106467,0.7097875129364357,0.5143981336080986
cand_mimic4_regime,POOLED,33531,9,0.5912439235334467,22,0.9363223551177133,nan,0.566763429975808
cand_mimic4_regime,0,5976,9,0.12617135207496652,22,0.9882335700723425,0.9877748903587861,0.5917115610653558
cand_mimic4_regime,1,3819,9,0.7742864624247185,22,0.9040675435299619,0.9095329655455966,0.5297045745397879
cand_mimic4_regime,2,6957,9,0.6407934454506252,22,0.8545072133833345,0.8571871996892072,0.5117720933146699
cand_mimic4_regime,3,5280,9,0.7787878787878788,22,0.8106467122621395,0.8147808494016843,0.49817783983396413
cand_mimic4_regime,4,2257,9,0.9091714665485158,22,0.9573729377644653,0.9404649835972044,0.5271287976037655
cand_mimic4_regime,6,690,9,0.6246376811594203,22,0.9330595096256349,0.9363695813811823,0.5334859221170125
cand_mimic4_regime,7,4555,9,0.6313940724478595,22,0.9425969660396241,0.9430509086722095,0.5491033597553349
cand_mimic4_regime,8,3510,9,0.5,22,0.9559312018571279,0.9550549102685855,0.5072975057020641
cand_mimic4_regime,POOLED,33531,10,0.7189466463869255,22,0.9708650222800541,nan,0.5903958607750689
cand_mimic4_regime,0,5976,10,0.14909638554216867,22,0.9967516308060392,0.9966921481834625,0.5954806449726148
cand_mimic4_regime,1,3819,10,0.8884524744697565,22,0.9447741068673561,0.9462210931370717,0.4994506779353793
cand_mimic4_regime,2,6957,10,0.8344113842173351,22,0.8976604370035409,0.9076083088094553,0.5312775893626185
cand_mimic4_regime,3,5280,10,0.9297348484848484,22,0.9368764890275245,0.9378343534264312,0.5003148955189297
cand_mimic4_regime,4,2257,10,0.9618963225520603,22,0.989338853598706,0.9498489603976306,0.5582386211476867
cand_mimic4_regime,6,690,10,0.881159420289855,22,0.9449013157894737,0.842676909499358,0.4934310815147625
cand_mimic4_regime,7,4555,10,0.7729967069154775,22,0.9556489468823973,0.9558127883706327,0.5410602151116511
cand_mimic4_regime,8,3510,10,0.6698005698005698,22,0.9343275069922331,0.9350991207090111,0.490233076887224
cand_mimic4_regime,POOLED,33531,11,0.5387253586233635,22,0.9536625499656602,nan,0.5359441814691275
cand_mimic4_regime,0,5976,11,0.517904953145917,22,0.953325138966848,0.9538254364425384,0.5352438880100754
cand_mimic4_regime,1,3819,11,0.5671641791044776,22,0.9462394962794638,0.9511685572386087,0.5220402871412619
cand_mimic4_regime,2,6957,11,0.5959465286761535,22,0.9564829816294369,0.95978443689022,0.542507185694406
cand_mimic4_regime,3,5280,11,0.5905303030303031,22,0.9535826857155403,0.9551922856690197,0.548087809199545
cand_mimic4_regime,4,2257,11,0.07089056269384138,22,0.9959242370052456,0.996778135431569,0.49099159513590845
cand_mimic4_regime,6,690,11,0.036231884057971016,22,0.9305563909774437,0.8704360902255639,0.5724210526315789
cand_mimic4_regime,7,4555,11,0.7172338090010977,22,0.951832459737598,0.9646461081737762,0.5418845903035626
cand_mimic4_regime,8,3510,11,0.5809116809116809,22,0.9500663306182068,0.9500528277781093,0.5458428089374798
cand_mimic4_regime,POOLED,33531,12,0.47230920640601237,22,0.9492892274401746,nan,0.5401372685630818
cand_mimic4_regime,0,5976,12,0.43022088353413657,22,0.9418816335599087,0.9429143884887978,0.5320050078504681
cand_mimic4_regime,1,3819,12,0.4896569782665619,22,0.9445731116738874,0.9420636662706503,0.5310115155722255
cand_mimic4_regime,2,6957,12,0.5298260744573811,22,0.9442615709204334,0.9449362879664153,0.5428399292488473
cand_mimic4_regime,3,5280,12,0.5301136363636364,22,0.9507570864760102,0.9509036811240957,0.5471182991449558
cand_mimic4_regime,4,2257,12,0.08595480726628267,22,0.991790806102613,0.9878704818825551,0.49843836670647795
cand_mimic4_regime,6,690,12,0.036231884057971016,22,0.9997593984962406,0.8535338345864661,0.5322105263157896
cand_mimic4_regime,7,4555,12,0.6294182217343578,22,0.8947530899911891,0.8998626096601795,0.5493310667061196
cand_mimic4_regime,8,3510,12,0.5091168091168091,22,0.935377741027041,0.9357640676310272,0.5508031663516835
cand_mimic4_regime,POOLED,33531,13,0.7099102323223286,22,0.9542609785542211,nan,0.5859074239941463
cand_mimic4_regime,0,5976,13,0.1457496653279786,22,0.9923072425111689,0.9900636574529598,0.5977182946864413
cand_mimic4_regime,1,3819,13,0.8402723225975386,22,0.9037826502306525,0.9017831508717798,0.49949373943161907
